[2020-05-18 12:13:12,204] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2020-05-18 12:13:51,955] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2020-05-18 12:13:52,014] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 1 and epoch zk version is now 1 (kafka.controller.KafkaController)
[2020-05-18 12:13:52,014] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2020-05-18 12:13:52,022] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2020-05-18 12:13:52,031] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2020-05-18 12:13:52,036] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2020-05-18 12:13:52,102] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 24) (kafka.controller.KafkaController)
[2020-05-18 12:13:52,112] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2020-05-18 12:13:52,122] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2020-05-18 12:13:52,135] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2020-05-18 12:13:52,137] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2020-05-18 12:13:52,140] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2020-05-18 12:13:52,140] INFO [Controller id=0] Current list of topics in the cluster: Set() (kafka.controller.KafkaController)
[2020-05-18 12:13:52,141] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2020-05-18 12:13:52,149] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2020-05-18 12:13:52,150] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2020-05-18 12:13:52,151] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2020-05-18 12:13:52,152] INFO [Topic Deletion Manager 0] Initializing manager with initial deletions: Set(), initial ineligible deletions: Set() (kafka.controller.TopicDeletionManager)
